11:21:41.431 [ApplicationImpl pooled thread 29] INFO  c.b.l.BrowserStackRunExtension - maven
11:21:41.434 [ApplicationImpl pooled thread 29] INFO  com.browserstack.utils.Helpers - null
18:49:12.373 [ApplicationImpl pooled thread 111] INFO  c.b.l.BrowserStackRunExtension - testng
18:49:12.375 [ApplicationImpl pooled thread 111] INFO  com.browserstack.utils.Helpers - null
18:49:12.376 [ApplicationImpl pooled thread 111] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:51:29.887 [ApplicationImpl pooled thread 111] INFO  c.b.l.BrowserStackRunExtension - testng
18:51:29.887 [ApplicationImpl pooled thread 111] INFO  com.browserstack.utils.Helpers - null
18:51:29.888 [ApplicationImpl pooled thread 111] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:52:12.660 [ApplicationImpl pooled thread 105] INFO  c.b.l.BrowserStackRunExtension - testng
18:52:12.660 [ApplicationImpl pooled thread 105] INFO  com.browserstack.utils.Helpers - null
18:52:12.660 [ApplicationImpl pooled thread 105] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:38:59.054 [ApplicationImpl pooled thread 105] INFO  c.b.l.BrowserStackRunExtension - testng
19:38:59.055 [ApplicationImpl pooled thread 105] INFO  com.browserstack.utils.Helpers - null
19:38:59.055 [ApplicationImpl pooled thread 105] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:39:48.664 [ApplicationImpl pooled thread 134] INFO  c.b.l.BrowserStackRunExtension - testng
19:39:48.664 [ApplicationImpl pooled thread 134] INFO  com.browserstack.utils.Helpers - null
19:39:48.665 [ApplicationImpl pooled thread 134] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:43:11.407 [ApplicationImpl pooled thread 139] INFO  c.b.l.BrowserStackRunExtension - testng
19:43:11.408 [ApplicationImpl pooled thread 139] INFO  com.browserstack.utils.Helpers - null
19:43:11.408 [ApplicationImpl pooled thread 139] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:44:22.193 [ApplicationImpl pooled thread 105] INFO  c.b.l.BrowserStackRunExtension - testng
19:44:22.193 [ApplicationImpl pooled thread 105] INFO  com.browserstack.utils.Helpers - null
19:44:22.195 [ApplicationImpl pooled thread 105] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:47:35.399 [ApplicationImpl pooled thread 136] INFO  c.b.l.BrowserStackRunExtension - testng
19:47:35.399 [ApplicationImpl pooled thread 136] INFO  com.browserstack.utils.Helpers - null
19:47:35.400 [ApplicationImpl pooled thread 136] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:51:31.223 [ApplicationImpl pooled thread 152] INFO  c.b.l.BrowserStackRunExtension - testng
19:51:31.223 [ApplicationImpl pooled thread 152] INFO  com.browserstack.utils.Helpers - null
19:51:31.223 [ApplicationImpl pooled thread 152] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:58:09.527 [ApplicationImpl pooled thread 159] INFO  c.b.l.BrowserStackRunExtension - testng
19:58:09.527 [ApplicationImpl pooled thread 159] INFO  com.browserstack.utils.Helpers - null
19:58:09.527 [ApplicationImpl pooled thread 159] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:05:51.226 [ApplicationImpl pooled thread 136] INFO  c.b.l.BrowserStackRunExtension - testng
20:05:51.226 [ApplicationImpl pooled thread 136] INFO  com.browserstack.utils.Helpers - null
20:05:51.229 [ApplicationImpl pooled thread 136] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:06:52.290 [ApplicationImpl pooled thread 136] INFO  c.b.l.BrowserStackRunExtension - testng
20:06:52.291 [ApplicationImpl pooled thread 136] INFO  com.browserstack.utils.Helpers - null
20:06:52.293 [ApplicationImpl pooled thread 136] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:09:13.449 [ApplicationImpl pooled thread 136] INFO  c.b.l.BrowserStackRunExtension - testng
20:09:13.450 [ApplicationImpl pooled thread 136] INFO  com.browserstack.utils.Helpers - null
20:09:13.450 [ApplicationImpl pooled thread 136] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:31:32.210 [ApplicationImpl pooled thread 207] INFO  c.b.l.BrowserStackRunExtension - testng
20:31:32.210 [ApplicationImpl pooled thread 207] INFO  com.browserstack.utils.Helpers - null
20:31:32.211 [ApplicationImpl pooled thread 207] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:31:50.380 [ApplicationImpl pooled thread 186] INFO  c.b.l.BrowserStackRunExtension - testng
20:31:50.380 [ApplicationImpl pooled thread 186] INFO  com.browserstack.utils.Helpers - null
20:31:50.381 [ApplicationImpl pooled thread 186] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:32:10.744 [ApplicationImpl pooled thread 208] INFO  c.b.l.BrowserStackRunExtension - testng
20:32:10.744 [ApplicationImpl pooled thread 208] INFO  com.browserstack.utils.Helpers - null
20:32:10.744 [ApplicationImpl pooled thread 208] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:33:07.656 [ApplicationImpl pooled thread 186] INFO  c.b.l.BrowserStackRunExtension - testng
20:33:07.657 [ApplicationImpl pooled thread 186] INFO  com.browserstack.utils.Helpers - null
20:33:07.659 [ApplicationImpl pooled thread 186] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:33:46.035 [ApplicationImpl pooled thread 210] INFO  c.b.l.BrowserStackRunExtension - testng
20:33:46.035 [ApplicationImpl pooled thread 210] INFO  com.browserstack.utils.Helpers - null
20:33:46.036 [ApplicationImpl pooled thread 210] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:37:53.061 [ApplicationImpl pooled thread 212] INFO  c.b.l.BrowserStackRunExtension - testng
20:37:53.061 [ApplicationImpl pooled thread 212] INFO  com.browserstack.utils.Helpers - null
20:37:53.062 [ApplicationImpl pooled thread 212] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:39:07.965 [ApplicationImpl pooled thread 214] INFO  c.b.l.BrowserStackRunExtension - testng
20:39:07.966 [ApplicationImpl pooled thread 214] INFO  com.browserstack.utils.Helpers - null
20:39:07.966 [ApplicationImpl pooled thread 214] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:42:16.657 [ApplicationImpl pooled thread 211] INFO  c.b.l.BrowserStackRunExtension - testng
20:42:16.657 [ApplicationImpl pooled thread 211] INFO  com.browserstack.utils.Helpers - null
20:42:16.658 [ApplicationImpl pooled thread 211] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
09:56:51.860 [ApplicationImpl pooled thread 214] INFO  c.b.l.BrowserStackRunExtension - testng
09:56:51.860 [ApplicationImpl pooled thread 214] INFO  com.browserstack.utils.Helpers - null
09:56:51.860 [ApplicationImpl pooled thread 214] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
09:57:36.559 [ApplicationImpl pooled thread 582] INFO  c.b.l.BrowserStackRunExtension - testng
09:57:36.559 [ApplicationImpl pooled thread 582] INFO  com.browserstack.utils.Helpers - null
09:57:36.560 [ApplicationImpl pooled thread 582] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:10:35.000 [ApplicationImpl pooled thread 582] INFO  c.b.l.BrowserStackRunExtension - testng
10:10:35.000 [ApplicationImpl pooled thread 582] INFO  com.browserstack.utils.Helpers - null
10:10:35.000 [ApplicationImpl pooled thread 582] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:17:18.792 [ApplicationImpl pooled thread 610] INFO  c.b.l.BrowserStackRunExtension - testng
10:17:18.792 [ApplicationImpl pooled thread 610] INFO  com.browserstack.utils.Helpers - null
10:17:18.792 [ApplicationImpl pooled thread 610] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:17:42.255 [ApplicationImpl pooled thread 610] INFO  c.b.l.BrowserStackRunExtension - testng
10:17:42.255 [ApplicationImpl pooled thread 610] INFO  com.browserstack.utils.Helpers - null
10:17:42.256 [ApplicationImpl pooled thread 610] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:18:38.751 [ApplicationImpl pooled thread 613] INFO  c.b.l.BrowserStackRunExtension - testng
10:18:38.751 [ApplicationImpl pooled thread 613] INFO  com.browserstack.utils.Helpers - null
10:18:38.752 [ApplicationImpl pooled thread 613] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:22:08.896 [ApplicationImpl pooled thread 613] INFO  c.b.l.BrowserStackRunExtension - testng
10:22:08.896 [ApplicationImpl pooled thread 613] INFO  com.browserstack.utils.Helpers - null
10:22:08.898 [ApplicationImpl pooled thread 613] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:23:17.022 [ApplicationImpl pooled thread 613] INFO  c.b.l.BrowserStackRunExtension - testng
10:23:17.022 [ApplicationImpl pooled thread 613] INFO  com.browserstack.utils.Helpers - null
10:23:17.025 [ApplicationImpl pooled thread 613] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:36:21.842 [ApplicationImpl pooled thread 625] INFO  c.b.l.BrowserStackRunExtension - testng
10:36:21.842 [ApplicationImpl pooled thread 625] INFO  com.browserstack.utils.Helpers - null
10:36:21.843 [ApplicationImpl pooled thread 625] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:58:19.041 [ApplicationImpl pooled thread 660] INFO  c.b.l.BrowserStackRunExtension - testng
10:58:19.041 [ApplicationImpl pooled thread 660] INFO  com.browserstack.utils.Helpers - null
10:58:19.041 [ApplicationImpl pooled thread 660] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:01:59.457 [ApplicationImpl pooled thread 683] INFO  c.b.l.BrowserStackRunExtension - testng
11:01:59.457 [ApplicationImpl pooled thread 683] INFO  com.browserstack.utils.Helpers - null
11:01:59.458 [ApplicationImpl pooled thread 683] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:02:57.947 [ApplicationImpl pooled thread 683] INFO  c.b.l.BrowserStackRunExtension - testng
11:02:57.948 [ApplicationImpl pooled thread 683] INFO  com.browserstack.utils.Helpers - null
11:02:57.949 [ApplicationImpl pooled thread 683] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:02:59.773 [ApplicationImpl pooled thread 704] INFO  c.b.l.BrowserStackRunExtension - testng
12:02:59.773 [ApplicationImpl pooled thread 704] INFO  com.browserstack.utils.Helpers - null
12:02:59.774 [ApplicationImpl pooled thread 704] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:19:38.051 [ApplicationImpl pooled thread 717] INFO  c.b.l.BrowserStackRunExtension - testng
12:19:38.051 [ApplicationImpl pooled thread 717] INFO  com.browserstack.utils.Helpers - null
12:19:38.052 [ApplicationImpl pooled thread 717] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:20:53.708 [ApplicationImpl pooled thread 672] INFO  c.b.l.BrowserStackRunExtension - testng
12:20:53.708 [ApplicationImpl pooled thread 672] INFO  com.browserstack.utils.Helpers - null
12:20:53.708 [ApplicationImpl pooled thread 672] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:23:11.703 [ApplicationImpl pooled thread 672] INFO  c.b.l.BrowserStackRunExtension - testng
12:23:11.703 [ApplicationImpl pooled thread 672] INFO  com.browserstack.utils.Helpers - null
12:23:11.704 [ApplicationImpl pooled thread 672] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:31:02.929 [ApplicationImpl pooled thread 672] INFO  c.b.l.BrowserStackRunExtension - testng
12:31:02.929 [ApplicationImpl pooled thread 672] INFO  com.browserstack.utils.Helpers - null
12:31:02.929 [ApplicationImpl pooled thread 672] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:34:55.531 [ApplicationImpl pooled thread 743] INFO  c.b.l.BrowserStackRunExtension - testng
12:34:55.532 [ApplicationImpl pooled thread 743] INFO  com.browserstack.utils.Helpers - null
12:34:55.537 [ApplicationImpl pooled thread 743] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:35:50.914 [ApplicationImpl pooled thread 672] INFO  c.b.l.BrowserStackRunExtension - testng
12:35:50.914 [ApplicationImpl pooled thread 672] INFO  com.browserstack.utils.Helpers - null
12:35:50.914 [ApplicationImpl pooled thread 672] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:36:26.993 [ApplicationImpl pooled thread 672] INFO  c.b.l.BrowserStackRunExtension - testng
12:36:26.993 [ApplicationImpl pooled thread 672] INFO  com.browserstack.utils.Helpers - null
12:36:26.994 [ApplicationImpl pooled thread 672] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:38:04.013 [ApplicationImpl pooled thread 751] INFO  c.b.l.BrowserStackRunExtension - testng
12:38:04.013 [ApplicationImpl pooled thread 751] INFO  com.browserstack.utils.Helpers - null
12:38:04.014 [ApplicationImpl pooled thread 751] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:38:19.978 [ApplicationImpl pooled thread 750] INFO  c.b.l.BrowserStackRunExtension - testng
